pink;
black;
chocolate;
magenta;
wheat;
yellowgreen;
aquamarine;
sage;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
cloudy blue;
